# Created January, 2015 Tom Parker
# This file represents a conversion mechanism for items that were previously
# stand-alone tokens, but are now handled internally as FACT or FACTSET.
#
# This file does not need to be referenced by a set of data or game mode
# unless that data uses a data control file (DATACONTROL: in a PCC file)
#
# Once a dataset takes on the responsibility of a DATACONTROL file, then it 
# MUST include these entries (or something near equivalent [additional
# SELECT-ability would be legal]) in one of the DATACONTROL files.

# This MUST be included if you enable the datacontrol file....

# Name						Explanation								VALUE
DEFAULTVARIABLEVALUE:ORDEREDPAIR|0,0
FACTDEF:ABILITY|CF_FamiliarScryonFamiliar				DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarScryonFamiliar			EXPLANATION:FamiliarScryonFamiliar
FACTDEF:ABILITY|CF_FamiliarEmpathicLink				DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarEmpathicLink			EXPLANATION:FamiliarEmpathicLink
FACTDEF:ABILITY|CF_FamiliarDeliverTouchSpells			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarDeliverTouchSpells		EXPLANATION:FamiliarDeliverTouchSpells
FACTDEF:ABILITY|CF_FamiliarSpeakwithMaster			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarSpeakwithMaster			EXPLANATION:FamiliarSpeakwithMaster
FACTDEF:ABILITY|CF_FamiliarSpeakwithAnimalsofItsKind		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarSpeakwithAnimalsofItsKind	EXPLANATION:FamiliarSpeakwithAnimalsofItsKind
FACTDEF:ABILITY|CF_FamiliarSpellResistance			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarSpellResistance			EXPLANATION:FamiliarSpellResistance
FACTDEF:ABILITY|CF_FamiliarShareSpells				DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarShareSpells			EXPLANATION:FamiliarShareSpells

FACTDEF:ABILITY|Archetype_FamiliarIntelligenceScore		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarIntelligenceScore		EXPLANATION:FamiliarIntelligenceScore
FACTDEF:ABILITY|Archetype_FamiliarNaturalArmorBonus		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarNaturalArmorBonus		EXPLANATION:FamiliarNaturalArmorBonus
FACTDEF:ABILITY|Archetype_FamiliarAlertness			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarAlertness				EXPLANATION:FamiliarAlertness
FACTDEF:ABILITY|Archetype_FamiliarImprovedEvasion		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarImprovedEvasion			EXPLANATION:FamiliarImprovedEvasion
FACTDEF:ABILITY|Archetype_FamiliarScryonFamiliar		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarScryonFamiliar			EXPLANATION:FamiliarScryonFamiliar
FACTDEF:ABILITY|Archetype_FamiliarEmpathicLink			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarEmpathicLink			EXPLANATION:FamiliarEmpathicLink
FACTDEF:ABILITY|Archetype_FamiliarDeliverTouchSpells		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarDeliverTouchSpells		EXPLANATION:FamiliarDeliverTouchSpells
FACTDEF:ABILITY|Archetype_FamiliarSpeakwithMaster		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarSpeakwithMaster			EXPLANATION:FamiliarSpeakwithMaster
FACTDEF:ABILITY|Archetype_FamiliarSpeakwithAnimalsofItsKind	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarSpeakwithAnimalsofItsKind	EXPLANATION:FamiliarSpeakwithAnimalsofItsKind
FACTDEF:ABILITY|Archetype_FamiliarSpellResistance		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarSpellResistance			EXPLANATION:FamiliarSpellResistance
FACTDEF:ABILITY|Archetype_FamiliarShareSpells			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:FamiliarShareSpells			EXPLANATION:FamiliarShareSpells
