
###Block:
# Class of the Master		Type				Define							Modify VAR																		Main Race Type
FOLLOWER:AnimalCompanionLVL=1	TYPE:Animal Companion	DEFINE:MasterLevel|0	DEFINE:BonusTricks|0	BONUS:VAR|MasterLevel|MASTERVAR("AnimalCompanionLVL")	BONUS:VAR|BonusTricks|1+MASTERVAR("AnimalCompanionLVL")/3	RACETYPE:Animal
###Block: HD
# Class of the Master			Type				Hit Dice
FOLLOWER:FamiliarLVL=1	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar ~ Augmented Animal|PRERACE:1,TYPE=Animal

###Block: Specific Familiars
# Class of the Master	Type			Ability											Required Race
FOLLOWER:FamiliarLVL=1	TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Familiar ~ Speak One Language	PRERACE:1,Raven

###Block:Familiar Bonuses to Master
# Race of familiar	Type			Ability
MASTERBONUSRACE:Bat	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Bat)
MASTERBONUSRACE:Cat	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Cat)
MASTERBONUSRACE:Hawk	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Hawk)
MASTERBONUSRACE:Lizard	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Lizard)
MASTERBONUSRACE:Monkey	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Monkey)
MASTERBONUSRACE:Owl	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Owl)
MASTERBONUSRACE:Rat	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Rat)
MASTERBONUSRACE:Raven	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Raven)
MASTERBONUSRACE:Viper	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Viper)
MASTERBONUSRACE:Toad	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Toad)
MASTERBONUSRACE:Weasel	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Weasel)

###Block:Familiar Bonuses to Master
# Race of familiar						Type			Ability
MASTERBONUSRACE:Familiar (Centipede (House))		TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Centipede (House))
MASTERBONUSRACE:Familiar (Crab (Giant King))		TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Crab (Giant King))
MASTERBONUSRACE:Familiar (Fox)				TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Fox)
MASTERBONUSRACE:Familiar (Octopus)				TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Octopus)
MASTERBONUSRACE:Familiar (Scorpion (Greensting))	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Scorpion (Greensting))
# MASTERBONUSRACE:Familiar (Spider (Scarlet))		TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Spider (Scarlet))

###Block: Specific Familiars
# Class of the Master	Type			Ability											Required Race
FOLLOWER:FamiliarLVL=1	TYPE:Familiar	ABILITY:Special Ability|AUTOMATIC|Familiar ~ Speak One Language	PRERACE:1,Familiar (Thrush)

###Block:Familiar Bonuses to Master
# Race of familiar						Type			Ability
MASTERBONUSRACE:Familiar (Blue-Ringed Octopus)		TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Blue-Ringed Octopus)
MASTERBONUSRACE:Familiar (Donkey Rat)			TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Donkey Rat)
MASTERBONUSRACE:Familiar (Fox)				TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Fox)
MASTERBONUSRACE:Familiar (Goat)				TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Goat)
MASTERBONUSRACE:Familiar (Scorpion (Greensting))	TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Scorpion (Greensting))
MASTERBONUSRACE:Familiar (Hedgehog)				TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Hedgehog)
MASTERBONUSRACE:Familiar (Centipede (House))		TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Centipede (House))
MASTERBONUSRACE:Familiar (Crab (Giant King))		TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Crab (Giant King))
MASTERBONUSRACE:Familiar (Pig)				TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Pig)
# MASTERBONUSRACE:Familiar (Spider (Scarlet))		TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Spider (Scarlet))
MASTERBONUSRACE:Familiar (Thrush)				TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Thrush)
MASTERBONUSRACE:Familiar (Turtle)				TYPE:Familiar	ABILITY:Internal|AUTOMATIC|Familiar Granted Bonus (Turtle)
